日期2,收盘,开盘,高,低,交易量,涨跌幅,日期
2021/12/8,291180,290380,292000,290380,0.28K,0.0086,20211208
2021/12/7,288700,286920,290500,286160,0.90K,-0.0016,20211207
2021/12/6,289170,291000,291080,285080,2.00K,-0.0048,20211206
2021/12/3,290560,290180,291600,289000,0.82K,-0.001,20211203
2021/12/2,290840,292000,292200,289000,1.20K,-0.001,20211202
2021/12/1,291130,291450,291970,289800,1.84K,0,20211201
2021/11/30,291120,290230,291950,289500,5.37K,0.0104,20211130
2021/11/29,288120,285050,290950,285050,9.11K,-0.0017,20211129
2021/11/26,288620,290800,291200,287000,12.63K,-0.0096,20211126
2021/11/25,291430,289410,293690,288600,29.09K,0.0123,20211125
2021/11/24,287890,288810,289800,285870,31.35K,-0.0108,20211124
2021/11/23,291020,291170,293190,287500,41.74K,0.0022,20211123
2021/11/22,290380,286500,292150,285000,40.83K,0.0064,20211122
2021/11/19,288520,286100,290890,285820,43.06K,0.0132,20211119
2021/11/18,284750,283090,287000,282500,42.42K,0.0089,20211118
2021/11/17,282240,283120,283990,281100,39.31K,-0.0015,20211117
2021/11/16,282650,282930,284660,280610,40.77K,-0.0368,20211116
2021/11/15,293440,298000,298000,291000,0.07K,-0.018,20211115
2021/11/12,298810,296400,301500,296400,0.28K,0.0225,20211112
2021/11/11,292240,290950,294600,289000,0.21K,0.0113,20211111
2021/11/10,288970,290310,290950,286310,0.62K,-0.0053,20211110
2021/11/9,290500,290300,291500,289000,0.58K,0.0005,20211109
2021/11/8,290350,290100,292830,287750,0.48K,-0.0045,20211108
2021/11/5,291660,292000,293000,289880,0.53K,0.0005,20211105
2021/11/4,291520,290020,292500,290020,0.38K,0.0044,20211104
2021/11/3,290240,288920,292500,288400,1.15K,0.0077,20211103
2021/11/2,288030,285340,289990,285140,0.53K,0.0133,20211102
2021/11/1,284260,278890,287600,278890,1.38K,0.0557,20211101
2021/10/29,269260,265200,284000,258690,8.95K,0.0125,20211029
2021/10/28,265940,281640,281640,259630,12.90K,-0.0577,20211028
2021/10/27,282210,282100,284990,278550,13.35K,0.0021,20211027
2021/10/26,281630,282200,285500,277000,30.51K,-0.011,20211026
2021/10/25,284770,283660,292480,280040,69.63K,0.0061,20211025
2021/10/22,283030,285960,286990,278680,75.26K,-0.0277,20211022
2021/10/21,291100,284780,295880,284660,75.45K,0.0213,20211021
2021/10/20,285030,293220,294410,278120,82.98K,-0.0151,20211020
2021/10/19,289410,292380,296150,285000,79.70K,0.0119,20211019
2021/10/18,286020,283000,294300,281730,75.74K,0.0053,20211018
2021/10/15,284500,284500,284500,284500,0.02K,0.0202,20211015
2021/10/14,278880,279050,284960,276000,0.19K,0.0001,20211014
2021/10/13,278840,283040,283040,275000,0.24K,-0.011,20211013
2021/10/12,281930,285280,289500,279490,1.07K,-0.0091,20211012
2021/10/11,284520,281400,288200,279610,1.38K,0.0201,20211011
2021/10/8,278910,273830,284170,272500,1.48K,0.0244,20211008
2021/9/30,272270,275100,276090,270000,4.37K,-0.012,20210930
2021/9/29,275580,272860,279580,272000,12.68K,0.0183,20210929
2021/9/28,270620,267800,272420,266800,29.73K,-0.0476,20210928
2021/9/27,284140,282900,290510,269530,95.60K,0.0125,20210927
2021/9/24,280620,276820,287960,274780,104.45K,0.0211,20210924
2021/9/23,274810,274740,278500,271680,87.06K,0.0236,20210923
2021/9/22,268470,259190,277290,258050,62.28K,0.0332,20210922
2021/9/17,259840,259290,262710,257000,67.62K,0.0042,20210917
2021/9/16,258760,256140,261420,255290,79.51K,0.0005,20210916
2021/9/15,258630,255800,260390,255800,0.18K,0.01,20210915
2021/9/14,256070,258300,258800,255510,0.36K,-0.0145,20210914
2021/9/13,259830,258370,263000,251000,0.24K,0.0051,20210913
2021/9/10,258510,254330,260260,254330,0.99K,0.028,20210910
2021/9/9,251480,248990,254790,248800,0.61K,0.0149,20210909
2021/9/8,247780,248320,250850,245300,0.70K,0.0002,20210908
2021/9/7,247720,247320,248490,246830,0.56K,-0.0027,20210907
2021/9/6,248390,247750,251250,246070,1.35K,-0.0004,20210906
2021/9/3,248480,248490,250840,247210,1.29K,-0.0038,20210903
2021/9/2,249420,249050,251800,247780,1.24K,-0.0003,20210902
2021/9/1,249490,252090,252410,248000,1.77K,-0.0002,20210901
2021/8/31,249550,246650,251560,246650,11.29K,0.0234,20210831
2021/8/30,243850,243900,247760,242100,25.28K,0.0065,20210830
2021/8/27,242280,241860,244240,240150,51.94K,-0.0004,20210827
2021/8/26,242380,240440,244750,240370,53.79K,0.0128,20210826
2021/8/25,239310,237510,241700,236650,50.86K,0.016,20210825
2021/8/24,235530,235180,237590,233720,48.52K,0.0133,20210824
2021/8/23,232450,231990,234640,229900,74.85K,0.0052,20210823
2021/8/20,231240,228130,234330,225580,131.47K,-0.042,20210820
2021/8/19,241370,240980,243560,239260,76.32K,-0.0046,20210819
2021/8/18,242490,242990,244150,240750,63.51K,0.0021,20210818
2021/8/17,241980,238100,244900,238100,70.33K,0.0118,20210817
2021/8/16,239150,239980,242690,237000,0.08K,-0.005,20210816
2021/8/13,240340,243900,243900,239390,0.22K,-0.0217,20210813
2021/8/12,245670,258790,258790,242570,0.09K,0.02,20210812
2021/8/11,240850,238500,246030,238500,0.92K,0.0248,20210811
2021/8/10,235020,231100,239250,231100,0.71K,0.0098,20210810
2021/8/9,232730,232400,234400,231400,0.72K,0.0024,20210809
2021/8/6,232180,231000,233700,231000,1.16K,0.0003,20210806
2021/8/5,232100,230500,234550,230500,1.10K,0.0009,20210805
2021/8/4,231890,230000,233030,230000,1.84K,-0.0115,20210804
2021/8/3,234590,237090,238310,232450,2.29K,-0.0095,20210803
2021/8/2,236830,238820,239260,234820,2.75K,0.0069,20210802
2021/7/30,235200,233030,236970,233030,6.67K,0.0116,20210730
2021/7/29,232500,233970,235470,229960,7.32K,-0.0003,20210729
2021/7/28,232570,233000,234140,231250,9.26K,-0.0116,20210728
2021/7/27,235310,234500,238340,232200,15.41K,0.0014,20210727
2021/7/26,234970,234400,237800,231780,39.01K,0.0115,20210726
2021/7/23,232290,227100,236210,227100,60.78K,0.029,20210723
2021/7/22,225750,226000,226570,224750,38.26K,-0.0063,20210722
2021/7/21,227180,228450,230430,223600,58.59K,-0.0039,20210721
2021/7/20,228060,231000,231000,225500,71.62K,-0.0174,20210720
2021/7/19,232110,228260,234890,227700,97.62K,0.0292,20210719
2021/7/16,225520,222600,238580,221710,86.93K,0.0144,20210716
2021/7/15,222320,221200,224390,221200,0.14K,0.0047,20210715
2021/7/14,221280,222600,222600,220300,0.22K,-0.0049,20210714
2021/7/13,222370,220380,223120,220380,0.22K,0.0116,20210713
2021/7/12,219820,220870,222430,218260,0.44K,0.0021,20210712
2021/7/9,219350,217420,221170,216800,0.32K,0.009,20210709
2021/7/8,217390,218500,219050,216600,0.41K,-0.0024,20210708
2021/7/7,217920,219000,219380,215500,0.46K,-0.0062,20210707
2021/7/6,219290,218400,220570,217230,0.73K,0.0145,20210706
2021/7/5,216160,214220,218120,213920,0.43K,0.0119,20210705
2021/7/2,213620,215110,215110,212780,0.48K,-0.0048,20210702
2021/7/1,214660,216130,217320,213180,1.50K,0.0047,20210701
2021/6/30,213660,213190,216130,212850,3.70K,0.0029,20210630
2021/6/29,213050,211880,214110,211710,2.93K,0.0031,20210629
2021/6/28,212400,212570,215580,210250,4.93K,0.0044,20210628
2021/6/25,211480,210510,212640,209940,4.78K,0.0081,20210625
2021/6/24,209790,208700,211380,208400,6.28K,0.0154,20210624
2021/6/23,206610,203700,209800,202850,8.51K,0.0248,20210623
2021/6/22,201610,199900,204180,199460,10.21K,0.0101,20210622
2021/6/21,199600,200690,202500,197640,24.09K,-0.0208,20210621
2021/6/18,203830,204800,205380,201120,51.53K,-0.0101,20210618
2021/6/17,205900,205440,207560,204100,47.99K,-0.0026,20210617
2021/6/16,206430,206430,207980,204220,44.27K,0.0015,20210616
2021/6/15,206130,209600,209600,205000,0.03K,-0.016,20210615
2021/6/11,209480,207380,213500,200100,0.07K,0.0053,20210611
2021/6/10,208370,209000,209000,207500,0.07K,-0.0037,20210610
2021/6/9,209150,205840,211000,205840,0.14K,0.0206,20210609
